Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
24,192.168.50.254-224.0.0.5-0-0-0,192.168.50.254,0,224.0.0.5,0,0,18:17.0,114456999,45,0,0,0,0,0,0,0,0,0,0,0,0,0.393160754,2601295.432,4295632,10001143,1,114456999,2601295.432,4295632,10001143,1,0,0,0,0,0,0,0,0,0,0,0,0.393160754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,-1,-1,0,0,8185.583333,28337.11229,98168,3,9529897.25,351582.6313,10001143,9048097,0,0,BENIGN
26,192.168.50.253-224.0.0.5-0-0-0,192.168.50.253,0,224.0.0.5,0,0,18:18.5,114347504,56,0,0,0,0,0,0,0,0,0,0,0,0,0.48973522,2079045.527,3956754.087,9978130,0,114347504,2079045.527,3956754.087,9978130,0,0,0,0,0,0,0,0,0,0,0,0,0.48973522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,-1,-1,0,0,35028.41667,121314.9119,420255,4,9493929.75,351541.0795,9978130,8820294,0,0,BENIGN
176563,172.217.10.98-192.168.50.6-443-54799-6,192.168.50.6,54799,172.217.10.98,443,6,18:18.6,36435473,6,2,116,92,46,6,19.33333333,20.65591118,46,46,46,0,5.708722376,0.219566245,5205067.571,13743800.17,36373056,1,36435473,7287094.6,16259569.18,36373056,1,2,2,0,2,2,1,0,0,0,120,40,0.164674684,0.054891561,6,46,28.22222222,21.08185107,444.4444444,0,0,1,0,0,1,0,0,0,31.75,19.33333333,46,120,0,0,0,0,0,0,6,116,2,92,257,250,5,20,62416,0,62416,62416,36373056,0,36373056,36373056,0,0,BENIGN
50762,172.217.7.2-192.168.50.6-443-54800-6,192.168.50.6,54800,172.217.7.2,443,6,18:18.6,36434705,6,2,116,92,46,6,19.33333333,20.65591118,46,46,46,0,5.708842709,0.219570873,5204957.857,13743511.11,36372291,1,36434705,7286941,16259227.39,36372291,1,2,2,0,2,2,1,0,0,0,120,40,0.164678155,0.054892718,6,46,28.22222222,21.08185107,444.4444444,0,0,1,0,0,1,0,0,0,31.75,19.33333333,46,120,0,0,0,0,0,0,6,116,2,92,253,252,5,20,62413,0,62413,62413,36372291,0,36372291,36372291,0,0,BENIGN
87149,172.217.10.98-192.168.50.6-443-54801-6,192.168.50.6,54801,172.217.10.98,443,6,18:18.6,36434626,6,2,116,92,46,6,19.33333333,20.65591118,46,46,46,0,5.708855087,0.21957135,5204946.571,13743483.22,36372216,1,36434626,7286925.2,16259194.26,36372216,1,2,2,0,2,2,1,0,0,0,120,40,0.164678512,0.054892837,6,46,28.22222222,21.08185107,444.4444444,0,0,1,0,0,1,0,0,0,31.75,19.33333333,46,120,0,0,0,0,0,0,6,116,2,92,257,246,5,20,62409,0,62409,62409,36372216,0,36372216,36372216,0,0,BENIGN
0,172.217.9.238-192.168.50.6-80-54805-6,192.168.50.6,54805,172.217.9.238,80,6,18:18.6,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,0,1,1,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,0,0,BENIGN
1,172.217.9.238-192.168.50.6-80-54805-6,172.217.9.238,80,192.168.50.6,54805,6,18:18.7,2,2,0,12,0,6,6,6,0,0,0,0,0,6000000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,6,6,6,0,0,0,0,0,0,0,1,1,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,242,-1,1,20,0,0,0,0,0,0,0,0,0,1,BENIGN
144429,172.217.9.238-192.168.50.6-80-54805-6,192.168.50.6,54805,172.217.9.238,80,6,18:18.7,2,2,0,12,0,6,6,6,0,0,0,0,0,6000000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,6,6,6,0,0,0,0,0,0,0,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0,0,0,0,0,0,0,0,0,0,BENIGN
224,255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18:18.8,28870362,5,0,1500,0,300,300,300,0,0,0,0,0,51.95639736,0.173187991,7217590.5,3963525.224,10912366,2501634,28870362,7217590.5,3963525.224,10912366,2501634,0,0,0,0,0,0,0,0,0,120,0,0.173187991,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,360,300,0,120,0,0,0,0,0,0,5,1500,0,0,-1,-1,4,20,2501634,0,2501634,2501634,8789576,2955920.81,10912366,5413491,0,0,BENIGN
25,172.16.0.5-192.168.50.4-0-0-0,172.16.0.5,0,192.168.50.4,0,0,18:19.2,118365715,40,40,0,0,0,0,0,0,0,0,0,0,0,0.675871387,1498300.19,3765753.94,18391321,1,118365571,3035014.641,4931785.16,18391518,2,118365549,3035014.077,4931780.145,18391527,1,0,0,0,0,0,0,0.337935694,0.337935694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,40,0,-1,-1,0,0,2148794.1,3462640.656,7515650,103,9687762.7,5445120.306,18391321,5118819,0,1,Portmap
